# CSV-File created with merge-csv.com
# -----------------------------------------------------------

,Name,Brand Name,Technical Name,Category,Product Brief,Mode,Crop,Target,Pack Sizes,Dosage,Features,Benefits,Image Link,Product Link
14,Omite,Dhanuka,Propargite 57% EC,Insecticides,"Omite (Propargite 57% EC) is a true miticide (Acaricide) of sulfite ester group, which gives effective control of mites through its contact and fumigant action. Omite is registered in 72 countries for the control of 36 species of mites. Omite is also effective against those mites which gained resistance against other miticides & gives immediate protection to crops because feeding activity of mites ceases immediately after its application.","Omite acts by direct contact, residual contact and vapour action in the dense crop canopy. Omite interferes with the key mite enzyme systems, which causes interruption of normal. metabolism, respiration and electron transport functions in the nervous system of mites.","Brinjal, Chilli, Apple, Tea",Propargite 57% EC,"100ml, 250ml, 500ml, 1L & 5L","400 ml, 600 ml, 0.5 ml/litere water or 5- 10 ml/ tree, 300-500 ml","Omite is a true miticide (Acaricide) of the sulfite ester group, which gives effective control of mites through its contact and fumigant action.
Omite is also effective against those mites which gained resistance against other miticides.
Omite gives immediate protection to crops because feeding activity of mites ceases immediately after its application.
Omite is suitable for Integrated Pest Management.",,https://www.dhanuka.com/storage/products/August2021/HHUYBXMPo0kuHryEce70.png,https://www.dhanuka.com/insecticide/omite
15,Cover Gr,Dhanuka,Chlorantraniliprole/Rynaxypyr 0.4% GR,Insecticides,Dhanuka Cover (Chlorantraniliprole/Rynaxypyr 0.4% GR) is broad-spectrum insecticide to protect paddy crop from stem borers. Dhanuka Cover with its unique mode of action provides an effective and long duration protection from early shoot borer and top borer in paddy crops.,"Dhanuka Cover  insecticide is powered by active ingredient Rynaxypyr®, which has a unique mode of action; controlling pests resistant to other insecticides and its special characteristic selectivity to non-target anthropods and conserves natural parasitoids, predators and pollinators in the paddy growing ecosystems.","Paddy, Sugarcane",Chlorantraniliprole/Rynaxypyr 0.4% GR,4 KG,"4 Kg, 7.5 Kg","The cover provides effective and long duration protection with its unique mode of action in crops like Paddy and sugarcane.
Cover protecting the rice crop from stem borer & leaf folder and sugarcane crop from Early shoot borer & top borer.
Cover activates muscle ryanodine receptor, leading to contraction and paralysis.
The cover prevents the build-up of pest population and maximizes the crop yield potential.",,https://www.dhanuka.com/storage/products/May2019/Zr1fZSg6rYQNS6Gf309P.png,https://www.dhanuka.com/insecticide/cover-gr
16,Cover Liq,Dhanuka,Chlorantraniliprole 18.5% w/w SC,Insecticides,Dhanuka Cover Liq (Chlorantraniliprole 18.5% W/W SC) is broad-spectrum insecticide. Dhanuka Cover with its unique mode of action provides effective and long duration protection to different pest.,"The cover is a member of the anthranilic diamide class of insecticides with a novel mode of action acting on insect ryanodine receptors. Although COVER has contact activity, it is most effective through ingestion of treated plant material.","Paddy, Cotton, Cabbage, Sugarcane, Tomato, Chilli, Brinjal, Pigeon pea, Soyabean, Bengal gram, Black gram, , ",Chlorantraniliprole 18.5% w/w SC,,"60 ml, 60 ml, 20 ml, 200-250 ml, 150 ml, 60 ml, 60 ml, 80 ml, 60 ml, 60 ml, 50 ml, 40 ml, , ","The cover provides effective and long duration protection with its unique mode of action in crops like Paddy and sugarcane.
Cover protecting the rice crop from stem borer & leaf folder and sugarcane crop from Early shoot borer & top borer.
Cover activates muscle ryanodine receptor, leading to contraction and paralysis.
The cover prevents the build-up of pest population and maximizes the crop yield potential.",,https://www.dhanuka.com/storage/products/August2021/xXmoucSL0KT6aLk5UYH1.png,https://www.dhanuka.com/insecticide/cover-liq
17,Pager,Dhanuka,Diafenthiuron 50% WP,Insecticides,Pager (Diafenthiuron 50% WP) belongs to a unique chemical group allowing control of insects and mites resistant to major chemical classes such as OPs or Pyrethroids. Pager controls nymphs and adults and gives longer lasting control. Pager degrades into a urea derivative resulting in a phytotonic effect & selective to beneficial insects thus best fit in IPM programs.,"Pager is a pro-insecticide, which has first to be converted to its active form. The active compound then acts on a specific part of the energy-producing enzymes in the mitochondria. This results in immediate paralysis of the pest after intake or contact with the product.","Cotton, Cabbage, Chilli, Brinjal, Cardamom, Citrus",Diafenthiuron 50% WP,"250 gm, 500 gm, 1 kg","240 gm, 240 gm, 240 gm, 240 gm, 320 gm, 2.0 gm / Lit","Pager is a broad spectrum insecticide which controls sucking complex and mites as well.
Pager has trans laminar action, which allows control of hidden pests in plant canopy & has vapour action and works well in dense crops and in large fields.
Pager has quick knockdown through immediate paralysis of the pest.
Pager is safe to beneficial insects & suitable for Integrated Pest Management (IPM) programme.",,https://www.dhanuka.com/storage/products/August2021/5gqFCNFTpdUvFKlz27i1.png,https://www.dhanuka.com/insecticide/pager
18,Caldan 4G,Dhanuka,Cartap Hydrochloride 4% G,Insecticides,"Caldan 4G (Cartap Hydrochloride 4% G) is an insecticide of Nereistoxin analogue group, which gives effective control on insects pests through its contact, systemic and stomach poison action. Caldan 4G has remarkable capacity to control caterpillars. It is safe for environment and is also suitable for Integrated Pest Management (IPM) system. It is a persistent insecticide and controls the insect pests for a longer period.","Caldan is of Nereistoxin analogue group, which gives effective control on insects pests through its contact, systemic and stomach poison action. Caldan 4G has remarkable capacity to control caterpillars. It is safe for environment and is also suitable for Integrated Pest Management (IPM) system. It is a persistent insecticide and controls the insect pests for a longer period. ",Paddy,Cartap Hydrochloride 4% G,"1 kg, 5 kg, 7.5 kg",7.5 - 10 kg,"It controls all stages of insects ( egg, larva, adult)
It gives complete protection via systemic, contact and translaminar action. 
It breaks the insect resistance and gives excellent resistance management ( IRM) 
It is safe for beneficial insect, thus useful for IPM.
It is compatible with commonly used insecticide and fungicide. 
It leads to higher yield and high income.",,https://www.dhanuka.com/storage/products/August2021/YlOwACNYwmT38csvQirS.png,https://www.dhanuka.com/insecticide/caldan-4g
19,Caldan 50 SP,Dhanuka,Cartap Hydrochloride 50% SP,Insecticides,"Caldan (Cartap Hydrochloride 50% SP) is an insecticide of Nereistoxin analogue group, which gives effective control on insects pests.","Caldan is of Nereistoxin analogue group, which gives effective control on insects through its contact, systemic and stomach action. Caldan SP has remarkable capacity to control biting, chewing and sucking type of insects. It is suitable insecticide for Integrated Pest Management (IPM).",Paddy,Cartap Hydrochloride 50% SP,"50 gm, 100 gm, 250 gm, 500 gm, 1 kg",400 g,"It controls all stages of insects ( egg, larva, adult)
It gives complete protection via sytemic, contact and translaminar action.
It breaks the insect resistance and gives excellent resistance management ( IRM)  
It is safe for beneficial insect, thus useful for IPM.
It is compatible with commonly used insecticide and fungicide.   
It leads to higher yield and high income.",,https://www.dhanuka.com/storage/products/August2021/YEWT1BtIngOXjLZedY44.png,https://www.dhanuka.com/insecticide/caldan-50-sp
20,Superkiller  25%EC,Dhanuka,CYPERMETHRIN 25% EC,Insecticides,Superkiller  (CYPERMETHRIN 25% EC)  belongs to Pyrethriod ester group of insecticides.,Superkiller controls the insects by its contact and stomach poison action.It can be applied as a foliar spray.,"Cotton, Sugarcane, Maize, Groundnut, Cabbage & Cauliflower, Okra, Brinjal, Mustard",CYPERMETHRIN 25% EC,"50 ml, 100 ml, 250 ml, 500 ml, 1 ltr, 5 ltr","90-120ml, 90-120ml, 100-120ml, 100-120ml, 100-120ml, 100-120ml, 90-120ml, ","Superkiller is very effective in controlling the insects immediately after application even at lower doses.
Superkiller does not leave residue in the crops and due to this quality it can be applied a week before the harvest of the crop.",,https://www.dhanuka.com/storage/products/July2022/NJcIqK8dM0itZyg65rr5.png,https://www.dhanuka.com/insecticide/superkiller-25-ec
21,Superkiller 10%EC,Dhanuka,CYPERMETHRIN 10% EC,Insecticides,Superkiller (CYPERMETHRIN 10% EC)  belongs to Pyrethriod ester group of insecticides.,Superkiller controls the insects by its contact and stomach poison action.,"Cotton, Sugarcane, Maize, Groundnut, Cabbage & Cauliflower, Okra, Brinjal, Mustard",CYPERMETHRIN 10% EC,"50 ml, 100 ml, 250 ml, 500 ml, 1 ltr","220-300ml, 220-300ml, 250-300ml, 250-300ml, 250-300ml, 250-300ml, 220-300ml, 220-300ml","Superkiller is very effective in controlling the insects immediately after application even at lower doses.
Superkiller does not leave residue in the crops and due to this quality it can be applied a week before the harvest of the crop.",,https://www.dhanuka.com/storage/products/July2022/MHsK5Ol5qvJCPYvqUC7c.png,https://www.dhanuka.com/insecticide/superkiller-10-ec
22,Deva Shakti,Dhanuka,Lambda-cyhalothrin 5% EC,Insecticides,"Deva Shakti ( Lambdacyhalothrin 5% EC ) is a new generation photostable pyrethroid insecticide for the control of a broad spectrum of both chewing and sucking insect pests in cotton. It has contact and systemic action which is effective for the control of pests like bollworms, jassids, Thrips on cotton.",,"Cotton, Paddy, Brinjal, Tomato, Chilli, Pigeon pea, Onion, Okra, , , ",Lambda-cyhalothrin 5% EC,,"150-200 ml, 100 ml, 150 ml, 150 ml, 150 ml, 150-200 ml, 150 ml, 150 ml, , , ","It is a synthetic pyrethroid insecticide
Excellent cost-effective crop protection as part of most management systems including IPM
Can be applied at any stages of the crop",,https://www.dhanuka.com/storage/products/July2022/8Xqa8jX8YOJpgMfceETP.png,https://www.dhanuka.com/insecticide/deva-shakti
23,Dhanulux,Dhanuka,Quinalphos 25% EC,Insecticides,"Dhanulux (Quinalphos 25% EC) a broad spectrum organo-phosphatic insecticide containing 25% w/w quinalphose a.l. in the form of emulsifiable concentrate.  It is having broad spectrum of activity and good initial and residual toxicity against bollworms on cotton and stem borer, leaf folder, green leaf hopper, hispa on rice.",Dhanulux is a highly effective insecticide with contact and stomach action. Dhanulux can be applied as a foliar spray.,"Cotton, Paddy, Soybean, Brinjal",Quinalphos 25% EC,"100 ml, 250 ml, 500 ml, 1 ltr, 5 ltr, 20 ltr","600-800 ml, 500 ml, 250 ml, 500 ml","Effective against chewing and sucking insects and mites.
Good residual action.
Compatible with most pesticides,except those of alkaline nature.
Non-phytoxic to crops at recommended dosages.",,https://www.dhanuka.com/storage/products/July2022/mrkS53hbCe6LrW18qflC.png,https://www.dhanuka.com/insecticide/dhanulux
24,Media,Dhanuka,Imidacloprid 17.8% SL,Insecticides,Media (Imidacloprid 17.8% SL) is a systemic insecticides of Neonicotinide group which control the sucking insects and termites very effectively. It is an antagonist by binding to postsynaptic nicotinic receptors in the insect central nervous system.,"Systemic insecticide with translaminar activity and with contact and stomach action. Readily taken up by the plant and further distributed acropetally, with good root-systemic action.","Cotton, Sugarcane, Paddy, Chilli, Okra, Mango, Tea, Tomato, Brinjal",Imidacloprid 17.8% SL,"50 ml, 100 ml, 250 ml, 500 ml,1 ltr","60-90 ml, 1.5-2 ml/lit of water. Spray the solution on setts kept in seed furrow and cover with soil, 90-120 ml, 100 ml, 100 ml, 2-4 ml / 10 lit of water, 2.5 ml /lit of water, 100 ml, 100 ml","Media controls the termites of sugarcane.
Media controls the sucking insect pests of various crops very effectively.
Its outstanding biological eficacy, especially its excellent rootsystemic properties, its broad spectrum of activity, good long lasting effect - combined with low application rates and good plant compatibility, has made the product the first choice of the farmer.",,https://www.dhanuka.com/storage/products/August2021/oKmrFwyWnx0KhytAUePl.png,https://www.dhanuka.com/insecticide/media
25,Aaatank,Dhanuka,Carbosulfan 25% EC,Insecticides,"Aaatank (Carbosulfan 25% EC) is a world renowned insecticide of carbonate group, which by its dual contact and stomach poison action, gives effective control of insects.","Carbosulfan Biochemistry Cholinesterase inhibitor; activity is due to in vivo cleavage of the N-S bond, resulting in conversion to carbofuran. Mode of action Systemic insecticide with contact and stomach action.","Brinjal, Cumin, Paddy, Cotton, Groundnut, Chilli, Other vegetables, Mango, Litchi",Carbosulfan 25% EC,"100 ml, 250 ml, 500 ml, 1 ltr","300-400 ml, 300-400 ml, 320-400 ml, 300-400 ml, 300-400 ml, 400 ml, 300-400 ml, 400-600 ml, 400 ml","Aaatank gives effective control for longer period against shoot and fruit borers and aphids.
Aaatank used in recommended dose has no adverse effect on crops.
Aaatank is safe for environment and is suitable for incorporation in Integrated Pest Management (IPM) system.
Aaatank treated crop gives more produce of better quality.",,https://www.dhanuka.com/storage/products/August2021/Hw9JolmCssPIypbn3DQW.png,https://www.dhanuka.com/insecticide/aaatank
26,Dhanpreet,Dhanuka,Acetamiprid 20% SP,Insecticides,"Dhanpreet (Acetamiprid 20% SP) is a soluble powder formulation containing 20% of the active ingredient Acetamiprid. Dhanpreet is a highly effective systemic insecticide for the control of aphids, jasssids and whiteflies in cotton crop. 
Dhanpreet is a world renowned insecticide of Neonicotinide group for sucking insects.","Dhanpreet exhibits a systemic translaminar action. It has a novel mechanism of action on the insect nervous systems by acting as an agonist to nAch.
It also exhibits triple action: ovicidal, adulticidal and larvicidal.","Cotton, Chilli, Okra, Coriander, Green gram, Mustard, Citrus, Tea, Black gram, Cumin, Tomato, Groundnut, , ",Acetamiprid 20% SP,,"40-60 gm, 60-80 gm, 40-60 gm, 60-80 gm, 40-60 gm, 60-80 gm, 40-60 gm, 40-60 gm, 40-60 gm, 60-80 gm, 50 gm, 40-60 gm, 40-60 gm, 40-60 gm, 60-80 gm, 40-60 gm, 60-80 gm, , ","Dhanpreet controls the sucking insects very effectively by its extraordinary systemic action.
Dhanpreet has the ability to control the insects which gained resistance against other insecticides.
Dhanpreet is compatible with other commonly used Insecticides and Fungicides.
Dhanpreet persists in crops and hence has the ability to control the hiding insects for a longer time.
Dhanpreet is safe for natural enemies of insect-pests hence, it is also suitable for Integrated Pest Management (IPM) programme.",,https://www.dhanuka.com/storage/products/July2022/ETxI7ldm6pk4N0xnVLbR.png,https://www.dhanuka.com/insecticide/dhanpreet
27,Jackal,Dhanuka,Lambda-cyhalothrin 4.9% CS,Insecticides,"Jackal (Lambda Cyhalothrin 4.9% CS) a synthetic pyrethroid having contact and stomach mode of action. It has a new technology due to which it gives long duration control. It renders good control over bollworm in Cotton. Chemical is also recommended for stem borer, leaf folder in Paddy, borers in Brinjal, Okra & Tomato, thrips & flea beetle in Grapes and thrips & pod borer in Chilli.","Jackal is a non systemic, photostable third generation pyrethroid insecticide with contact and stomach action and
repellent properties giving rapid knockdown and long residual activity. Jackal acts by direct contact with insects or after ingestion. It is
used in agriculture for the control of insect pests on a wide variety of crops.","Cotton, Paddy, Brinjal, Okra, Tomato, Grapes, Chilli, Soybean",Lambda-cyhalothrin 4.9% CS,"250 ml, 500 ml, 1 ltr,","500 ml, 250 ml, 300 ml, 300 ml, 300 ml, 250 ml, 500 ml, 300 ml","Jackal is a new generation synthetic pyrethroid insecticide which has stomach and contact action on insect pests.
Jackal is used for control of wide range of pests in variety of crops.
Jackal may also be used in public health applications to control insects such as cockroaches, mosquitoes, ticks and flies.
Jackal has quick knockdown effect on insect with highly effectiveness against target pests.
Jackal is broad spectrum pest control and it used for control of insect pest in public health.",,https://www.dhanuka.com/storage/products/July2022/OymVrSu69asRWEo3WK1R.png,https://www.dhanuka.com/insecticide/jackal
28,Ripple,Dhanuka,Thiamethoxam 75% W/ WSG,Insecticides,"Ripple contains Thiamethoxam 75% SG, belongs to Neonicotinoids group of insecticides. It's a braod spectrum insecticide, recommended for control of sucking and chewing pests in multiple crops. It shows contact, stomach and systemic action.","Ripple interferes with a specific receptor site in the insect's nervous system. Once insect feed on the plant or come into contact with Ripple, feeding is irreversibly stopped and insect damage halts.","Groundnut, Sugarcane, Rice, Cotton",Thiamethoxam 75% W/ WSG,"50 GM, 250 GM & 500 GM","50 gm, 64 gm, 60 gm (Dissolve in 200 L of water and mix with 8 Kg sand/acre), 50 gm","Ripple is soil-applied insecticide and having a quick action against sucking and chewing pests.
Provide long -lasting, broad spectrum control on trageted insect pests in a variety of crops.
Better germination & plant establishment.
it is a very effective at low doses & safe to use in many crops.",,https://www.dhanuka.com/storage/products/July2022/RYfBqsUfuZ38IjN1eTNl.png,https://www.dhanuka.com/insecticide/ripple
29,Zapac,Dhanuka,Thiamethoxam 12.6% + Lambda-cyhalothrin 9.5% ZC,Insecticides,"Zapac is a combination of two different groups of insecticide which contains active ingredients of Thiamethoxam 12.6% + Lambda-cyhalothrin 9.5% ZC. having quick stomach and contact activity and is recommended to control Aphids, Jassids, Thrips & Bolworms in Cotton, Aphid, Shootfly, Stem borer in Maize, Leaf hopper, leaf eating caterpillars in groundnut, Stem fly, semilooper, girdle beetle in Soybean, Thrips & fruit borer in Chilii, thrips, semilooper, tea mosquito bug in tea, thrips, whiteflies, fruit borer in tomato crop ",Thiamethoxam interferes with a specific receptor site in the insect's nervous system and Lambda-cyhalothrin penetrates the insect cuticle to disrupt nerve conduction within minutes.,"Cotton, Tea, Tomato, Maize, Chilli, Groundnut, Soybean",Thiamethoxam 12.6% + Lambda-cyhalothrin 9.5% ZC,"80ML, 200ML & 500ML","80 ml, 60 ml, 50 ml, 50 ml, 60 ml, 60 ml, 50 ml","Zapac works as systemic, contact and stomach activity insecticide and show knockdown effect on target insects.
Zapac provide fast action with immediate kill.
Zapac gives lasting and effective protection against broad range of pests.
Zapac hits the insects by dual mode of action.
Zapac moves through xylem of plant acropetally means moves upwards from the base to foliage of plant.
Zapac also controls vector pests which transmit the disease from one plant to another plant.
Zapac is safe to use on many crops.",,https://www.dhanuka.com/storage/products/July2022/02HnSGuYllAZeBwkz8iZ.png,https://www.dhanuka.com/insecticide/zapac
30,Decide,Dhanuka,Etofenprox 6% + Diafenthiuron 25% WG,Insecticides,"Decide 31% WG is a unique combination available in wettable granule formulation efficient in control of mites, thrips and whitefly.",DECIDE has contact & stomach action by which it can inhibit mitochondrial respiration & acts on nervous system thus providing Immediate knockdown effect and long duration control against the target pest.,Chilli,Etofenprox 6% + Diafenthiuron 25% WG,"500 gms, 1 kg",500 grams/acre,"Broad spectrum control
Good efficacy against sucking pests
Long duration control
Translaminar action
Rainfastness
Blue Triangle chemistry making DECIDE a good fit in IPM
More flowering and fruit setting
Reduces number of insecticide sprays",,https://www.dhanuka.com/storage/products/August2022/ppTzYCUcjVuagva64V7Y.png,https://www.dhanuka.com/insecticide/decide
0,Wetcit,Dhanuka,,Plant Growth Regulators,"WETCIT is the leading Efficacy Enhancer that unleashes the complete potential of Herbicide, Insecticide,Fungicide,Miticide and PGRs sprays. WETCIT contains a blend of natural plant derived extracts with bio-degradable agents. This combination of components, collectively known as OROWET technology, is patented worldwide. This technology is unique and differentiates WETCIT from other adjuvants, giving the product a new mode of action and highly effectiveness.",WETCIT with TransPhloem TM technology quickens the translocation of systemic pesticides throughout the plant leading to a faster action of the recommended pesticide.,"Cotton, Paddy, Wheat, Maize, Potato, Tomato, Chilli, Leafy vegetables (Spinach), , , , , , , , , , , , , , , ","With recommended Herbicides, Insecticides, Fungicides or PGR, With recommended Herbicides, Insecticides, Fungicides or PGR, With recommended Herbicides, Insecticides, Fungicides or PGR, With recommended Herbicides, Insecticides, Fungicides or PGR, With recommended Herbicides, Insecticides, Fungicides or PGR, With recommended Herbicides, Insecticides, Fungicides or PGR, With recommended Herbicides, Insecticides, Fungicides or PGR, With recommended Herbicides, Insecticides, Fungicides or PGR, , , , , , , , , , , , , , , ",,"150 ml, 150 ml, 150 ml, 150 ml, 150 ml, 150 ml, 150 ml, 150 ml, , , , , , , , , , , , , , , ","WETCIT is an Efficacy Enhancer which improves the performance of  Chemicals that it is tank mixed.
WETCIT improves comprehensive crop health – thus the quality and yield of produce.
WETCIT acts as a foliage dryer which minimizes pathogen water resource thereby reduces disease.
WETCIT Strengthens Knock Down effect of pesticides.
WETCIT helps to provide a longer duration of control when tank mixed with recommended pesticide.
WETCIT has Re-wetting ability that helps in redistribution of chemicals with minimum moisture.
WETCIT helps in Faster Drying up of moisture from the leaf surface thus controlling spreading of disease.
WETCIT ensures plants are greener with healthier foliage cover and green leaves.",,https://www.dhanuka.com/storage/products/August2021/GduU4tDexk9aznLLc6WO.png,https://www.dhanuka.com/plant-growth-regulators/wetcit
1,Suelo,Dhanuka,,Plant Growth Regulators,SUELO is a Soil Health Enhancer with patented Oro-wet Technology.,"SUELO being a Soil Health Enhancer performs its functions only when the method of application is strignently followed. SUELO should ideally be applied through the irrigation system; drip-,micro-sprinkler and drenching methods. It can be applied by directed boom sprayer around the trees in a orchard situation, but should be washed in by micro- or overhead irrigation shortly after application.","Chilli, Perennial Orchard crops, Orchard crops, Tomato, Okra, Vegetables, Brinjal","At root development within 1-2 weeks after sowing or transplanting, In spring just before the new growth cycle, 1st time you apply SUELO in an orchard, double the application rate, At root development within 1-2 weeks after sowing or transplanting, At root development within 1-2 weeks after sowing or transplanting, At root development within 1-2 weeks after sowing or transplanting, At root development within 1-2 weeks after sowing or transplanting",,"2 Ltr, 2 Ltr, 4 Ltr, 2 ltr, 2 ltr, 2 ltr, 2 ltr","SUELO improves nutrient and water movement through hydrophobic soil, dense pockets and gaps.
SUELO increases microbial activity and metabolism by improving aerobic conditions.
SUELO bolsters nutrient availability through increased microbial activity.
SUELO moves insecticides and fungicides more completely throughout the soil profile for better efficacy.
SUELO enhances feeder root development through increased nutrient availability.
SUELO reduces waterlogging and run-off.
SUELO reduces hydrophobicity and improves water retention through better distribution in sandy soils.
SUELO improves infiltration of water in compacted soils, resulting in lower penetration resistance and less restriction of root growth.",,https://www.dhanuka.com/storage/products/August2021/HLJAndviBVX8rULQUw8x.png,https://www.dhanuka.com/plant-growth-regulators/suelo
2,Maxyld,Dhanuka,,Plant Growth Regulators,Maxyld is a highly effective plant growth regulator containing Gibberellic Acid 0.001% in liquid form as the active ingredient. Maxyld acts synergestically with plant metabolism and accelerates the growth function of the plant.Maxyld also increases the physiological efficiency of the crop by stimulating the hormonal and enzymatic activities. And finally Maxyld increases the yield and quality of crop produce.,"Maxyld is to be diluted at the rate of 1 ml in 1 litre of water and further diluted in 180-200 ltrs of water per acre for preparation of spray solution. It is then to be  sprayed uniformlly on the foilage to cover all parts of the plant. Maxyld shall be sprayed during the cool hours of the day.Maxyld can be sprayed in the field for high volume spraying using equipments like bucket sprayer, Stirrup pump sprayer, Foot Sprayer, Wheel barrow sprayer, Knapsack sprayer. For low volume spray knapsack mist blower cum duster can be used. ","Cotton, Paddy, Potato, Tomato, Brinjal, Groundnut, Banana, Grapes, Tea, Tea, , , ","At the time of boll development, At the time of 2-5% of Grain Formation, 60-70 days after planting, Fruit Formation and Development stage, Initiation of Fruiting and Fruit Develp. stage, Pod Development, 3rd month, 5th month and at Fruit formation, At development of fruit and match head stage, For unpruned tea - At Bud Break And After Plucking Every Alternate PGR Spray, For pruned tea - Immediate After Pruning, , , ",,"75 ml, 75 ml, 75 ml, 75 ml, 200 ml, 75 ml, 115 ml, 75 ml, 108 ml, 108 ml, , , ","Maxyld enables greater photosynthesis and plant metabolism during the vegetative and reproductive stage.
Maxyld stimulates the production of bigger leaves and a better root system.
Maxyld has gibberellins which are growth hormones that stimulate cell elongation and causes a plant to grow better during grain formation/flowering and fruiting stage.
Maxyld also plays an important role in the plant growth processes, such as stem elongation, better flowering and grain/fruit formation including grain/fruit maturity.
Maxyld increases the size of the plant, stimulates and increases grain/fruit formation and rate of maturity which boosts crop yield.
Maxyld induces the production of larger bundles and a bigger bunch of grains and helps to get better fruit size.
Maxyld also helps to support plants suffering from nutrient and growth deficiencies.
Maxyld enhances the marketability of your crop and helps to get better returns on investment.",,https://www.dhanuka.com/storage/products/August2022/ZTdaFS4Kv2A4dbqY7RyS.png,https://www.dhanuka.com/plant-growth-regulators/maxyld
3,Dhanvarsha,Dhanuka,,Plant Growth Regulators,"Dhanvarsha is a patented natural origin nitrogeneous organic Bio-nutrient derived by enzymatically & chemically treating naturally occuring animal and vegetable origin products.Dhanvarsha also contains natural peptides, natural amino acids and Bio-complexed nutrients. Dhanvarsha improves the crop yield ( quality & quantity), boosts root development, growth vigour and stress tolerance of plants. It improves viral and fungal disease resistance of crops.","Dhanvarsha is recommended on a wide range of crops including vegetables, fruit crops, oilseeds, cereals, pulses, cotton, plantation crops etc. It's mode of action depends on the right appliction method. For Foliar spray use 2 ml per ltr of water. Use 300 ml per acre diluted in minimum 150 ltr of water. Precautions: Not to be mixed with mineral oils, sulphur, copper hydroxide and alkaline products. The preliminary test should be carried out before using copper-based molecules. Dhanvarsha at 2ml per ltr of water will inactivate the hard water salts and water will be turned to pink thru yellow. If water is still yellow not turned to pink, slightly more quantity of Dhanvarsha i.e. 0.5 ml extra per ltr of water to achieve optimum pH. This will help to offer more nutrient to plant.","Cotton, Paddy, Wheat, Maize, Potato, Tomato, Vegetables, , , , , , , , , , , , , , , , , ","20-25 day after sowing / Square Formation, 7 days before transplanting in Nursery / Panicle, 12-15 days after sowing / Booting Stage, 4-6 Leaf Stage / 20-22 days after first spray, 30-35 and 50-55 days after planting, 12-15 days after Transplanting and at Flowering stage, 6-8 leaf stage and till Flowering stage, , , , , , , , , , , , , , , , , ",,"300 ml, 300 ml, 300 ml, 300 ml, 300 ml, 300 ml, 300 ml, , , , , , , , , , , , , , , , , ","Dhanvarsha helps in germination by promoting growth in the embryo of a seed.
Dhanvarsha has bio catalysts which helps in faster decomposition of Organic Nutrients in soil.
Dhanvarsha has also natural chelating agents which help in making available micro-nutrient elements of soil in absorption form for the crop during vegetative stage.
Dhanvarsha improves and stabilizes soil structure for healthy plant growth which Boosts root development in crop.
Dhanvarsha increases phosphate availability in plant system and makes the plant strong.
Dhanvarsha has peptides which improves Photosynthesis and helps in nutrient transportation to various parts of the plant.
Dhanvarsha enhances stress tolerance of Plants and imparts bio-stimulating effect which helps in profuse flowering/tillering.
It Optimizes the pH of water by reducing pH of alkaline water to desired range ie. 4-6.
Dhanvarsha  also conditions hard water by inactivating hardness causing salts which improves effectiveness of foliar sprays.
Dhanvarsha improves viral and fungal disease resistance of the plant by making it stronger during vegetative stage.",,https://www.dhanuka.com/storage/products/August2021/xctzKn5Uhl2Pr6Y3rddm.png,https://www.dhanuka.com/plant-growth-regulators/dhanvarsha
4,Dhanzyme Gold Granules,Dhanuka,,Plant Growth Regulators,Dhanzyme Gold Granules is biologically derived organic manure from vegetation (Sea grass),Dhanzyme Gold Granules contains hydrolised protein complex which provide valuable contribution in the constitution of plant proteins and development of plant cells. It also contains enzymes or biological catalyst which increases the process of photosynthesis.,"Paddy, Wheat, Sugarcane, Coriander and Carrot, Soybean, Potato, Cabbage & Cauliflower, Tomato, Brinjal, Chilli, ","First application - 20-25 days after transplanting Second application - 55-60 days after transplanting, First application - 30-35 days after sowing Second application - 50-60 days after sowing, First application - 30-60 days after sowing of setts Second application - 90 days after sowing of setts, First application - 10-15 days after sowing/ transplanting Second application - 20-30 days after first application, First application - at the initiation of flowers Second application - 30 days after first application, First application - after sowing Second application - after 40-50 days after sowing, First application - 10-15 days after sowing/ transplanting Second application - 20-30 days after first application, First application - 10-15 days after sowing/ transplanting Second application - 20-30 days after first application, First application - 10-15 days after sowing/ transplanting Second application - 20-30 days after first application, First application - 10-15 days after sowing/ transplanting Second application - 20-30 days after first application, ",,"5 kg, 5 kg, 5 kg, 5 kg, 5 kg, 5 kg, 5 kg, 5 kg, 5 kg, 5 kg, ","Increases growth of plant roots and number of branches.
This helps to absorb essential nutrients and moisture from soil and make the plants strong.
Increases the strength in plants to face adverse weather conditions.
Ultimately there is increase in the number of flowers and fruits.",,https://www.dhanuka.com/storage/products/August2021/x4u82J6XO42oQEpJMxIw.png,https://www.dhanuka.com/plant-growth-regulators/dhanzyme-gold-granules
